CODIGO DE LA PREGUNTA,	PREGUNTA,	TIEMPO DE EJECUCION,	DIMENSION X DE LA MATRIZ,	DIMENSION Y DE LA MATRIZ,	NUMERO DE DOCUMENTOS,	NUMERO DE PALABRAS,	NUMERO DE ITERACIONES UTILIZADAS,	TIEMPO ONLINE,	TIEMPO LEMMATIZACION,	TIEMPO ENTRENAMIENTO,	TIEMPO TOTAL
obtencionPruebas/prueba_continua/2013-09-08 14:58:50.751945,	why is the sky blue,	50.8996498585,	10,	10,	17,	346,	10,	45.0412569046,	4.69803214073,	1.16038584709,	50.8996498585
2013-09-08 15:27:27.623351,	why is the sky blue,	29.4511361122,	10,	10,	17,	346,	10,	22.3269331455,	6.34618997574,	0.7780418396,	29.4511361122
2013-09-08 15:35:22.801164,	why is the sky blue,	47.6533949375,	10,	10,	17,	346,	10,	41.7866230011,	4.73541784286,	1.13137698174,	47.6533949375
2013-09-23 09:08:51.499999,	why is the sky blue,	0.667167186737,	10,	10,	19,	387,	10,	0,	0,	0.667184114456,	0.667167186737
2013-09-23 09:10:28.989373,	why is the sky blue,	0.642750024796,	10,	10,	19,	387,	10,	0,	0,	0.64276599884,	0.642750024796
2013-09-23 09:17:00.240535,	why is the sky blue,	0.660305976868,	10,	10,	19,	387,	10,	0,	0,	0.660321950912,	0.660305976868
2013-09-23 09:36:50.629739,	why is the sky blue,	1.43175196648,	10,	10,	19,	387,	10,	0,	0,	1.43176698685,	1.43175196648
2013-09-23 09:41:31.250764,	why is the sky blue,	0.64902806282,	10,	10,	19,	387,	10,	0,	0,	0.649047136307,	0.64902806282
2013-09-23 10:25:38.168898,	why is the sky blue,	0.65229511261,	10,	10,	19,	387,	10,	0,	0,	0.652311086655,	0.65229511261
2013-09-23 16:38:13.873867,	why is the sky blue,	0.897084951401,	10,	10,	19,	387,	10,	0,	0,	0.897100925446,	0.897084951401
2013-09-23 16:49:51.476246,	why is the sky blue,	1.03169202805,	10,	10,	19,	387,	10,	0,	0,	1.03170704842,	1.03169202805
2013-09-23 16:50:41.854879,	why is the sky blue,	0.629331111908,	10,	10,	19,	387,	10,	0,	0,	0.62935090065,	0.629331111908
2013-09-26 13:17:13.770487,	why is the sky blue,	0.610831022263,	10,	10,	19,	387,	10,	0,	0,	0.610845088959,	0.610831022263
